Instructor,Sub,Crse,Day,Time
misikoc,ACC,201,T,04:00 pm-06:45 pm
guom,ACC,201,TR,09:30 am-10:45 am
guom,ACC,201,TR,11:00 am-12:15 pm
misikoc,ACC,202,M,04:00 pm-06:45 pm
guom,ACC,301,TR,02:00 pm-03:15 pm
foyl,ACC,302,TR,11:00 am-12:15 pm
guom,ACC,303,W,04:00 pm-06:45 pm
rujoubm,ACC,311,TR,09:30 am-10:45 am
capalboh,ACC,410,R,04:00 pm-06:45 pm
vailm,ACC,411,T,04:00 pm-06:45 pm
greenb,ACC,412,M,04:00 pm-06:45 pm
foyl,ACC,416,TR,12:30 pm-01:45 pm
rujoubm,ACC,420,TR,11:00 am-12:15 pm
vailm,ACC,520, ,TBA
capalboh,ACC,531, ,TBA
shepard-torresr,ANT,106,TR,09:30 am-10:45 am
leissa,ANT,125,TR,02:00 pm-03:15 pm
couture-palmerinop,ANT,201, ,TBA
leissa,ANT,221, ,TBA
couture-palmerinop,ANT,222, ,TBA
carrolls,ANT,302,TR,09:30 am-10:45 am
williamsone,ANT,337,MWF,08:00 am-08:50 am
williamsone,ANT,345,MWF,09:00 am-09:50 am
shepard-torresr,ANT,364,TR,11:00 am-12:15 pm
leissa,ANT,365,TR,11:00 am-12:15 pm
leissa,ANT,400,W,04:00 pm-06:45 pm
leissa,ANT,490, ,TBA
guarinob,ART,110,MW,09:00 am-11:45 am
mckeem,ART,110,TR,09:30 am-12:15 pm
eliaa,ART,111,MW,09:00 am-11:45 am
greener,ART,111,TR,12:00 pm-02:45 pm
opied,ART,122,TR,04:00 pm-06:45 pm
chent,ART,124,TR,09:30 am-12:15 pm
pinckneys,ART,140,TR,09:30 am-10:45 am
francob,ART,140,TR,12:30 pm-01:45 pm
beebyc,ART,140,TR,04:00 pm-05:15 pm
liuq,ART,202,TR,04:00 pm-06:45 pm
moranr,ART,202,MW,09:00 am-11:45 am
guildc,ART,202,TR,09:30 am-12:15 pm
liuq,ART,205,TR,12:30 pm-03:15 pm
cariddik,ART,212,MW,04:00 pm-05:50 pm
francob,ART,212,TR,02:00 pm-03:50 pm
kims,ART,213,TR,04:00 pm-06:45 pm
bisantzj,ART,214,W,09:00 am-11:45 am
rahmanifara,ART,215,MW,09:00 am-11:45 am
desousad,ART,217,TR,04:00 pm-06:45 pm
liuq,ART,219,M,12:00 pm-02:45 pm
bartonek,ART,219,T,09:30 am-12:15 pm
toczylowskib,ART,230,WF,12:00 pm-02:45 pm
petrikovskyh,ART,233,MW,01:00 pm-02:50 pm
greener,ART,235,F,12:00 pm-02:45 pm
eliaa,ART,235,M,12:00 pm-02:45 pm
wintnerj,ART,250,TR,05:30 pm-06:45 pm
rahmanifara,ART,308,MW,09:00 am-11:45 am
pinckneys,ART,313,TR,11:00 am-12:15 pm
greener,ART,315,TR,04:00 pm-06:45 pm
chent,ART,327,M,12:00 pm-02:45 pm
chent,ART,329,TR,12:30 pm-03:15 pm
hollandj,ART,332,WF,12:00 pm-02:45 pm
drewt,ART,342,TR,09:30 am-12:15 pm
lil,ART,343,MW,09:00 am-11:45 am
rahmanifara,ART,352,MW,12:00 pm-02:45 pm
doylem,ART,401,WF,01:00 pm-02:50 pm
kims,ART,436,TR,12:30 pm-03:15 pm
rahmanifara,ART,470,MW,12:00 pm-02:45 pm
chent,ART,480, ,TBA
lil,ART,480, ,TBA
greener,ART,480, ,TBA
doylem,ART,480, ,TBA
kims,ART,480, ,TBA
liuq,ART,480, ,TBA
petrikovskyh,ART,480, ,TBA
rahmanifara,ART,480, ,TBA
drewt,ART,480, ,TBA
