name,department,office,Hours
"Aidoo, A",Mathematical Sciences,"Science, Room 157","T, 1100, 1230, W, 1200, 1400, R, 1100, 1230, W, 1200, 1400"
"Anderson, D",Health Sciences and Nursing,"Goddard Hall, Room 212","M, 0800, 1500, W, 1100, 1600, R, 0800, 1500"
"Avent, A",Business Administration,"Communication, Room 215","M, 1300, 1400, W, 1300, 1400"
"Ayeni, O",Business Administration,"Communication, Room 213",On Sabbatical Leave
"Bachiochi, P",Psychological Science,"Webb Hall, Room 130","W, 1300, 1500"
"Bacholle, M",World Languages and Cultures,"Webb Hall, Room 233","M, 1500, 1700, W, 1000, 1100, F, 1000, 1100, F, 1200, 1300"
"Balcerski, T",History,"Webb Hall, Room 332","T, 1600, 1700, W, 1200, 1500, R, 1100, 1200"
"Bataille, A",Health Sciences and Nursing,"Goddard Hall, Room 217","M, 1000, 1100, M, 1200, 1300, W, 1000, 1100, W, 1200, 1300, R, 1100, 1200"
"Belles, D",Music,"Fine Arts, Room 234","M, 0900, 0950, W, 0900, 0950, F, 0900, 0950, W, 1300, 1350"
"Bergstrom-Lynch, C","Sociology, Anthropology, Criminology and Social Work","Webb Hall, Room 433",On Sabbatical S25
"Bondok, A",Computer Science,"Science, Room 252","M, 1200, 1400, W, 1200, 1400, F, 0800, 0900"
"Boucher, L",Health Sciences and Nursing,"Goddard Hall, Room 206","M, 1530, 1700, T, 0900, 1100, R, 0900, 1100, W, 1000, 1200"
"Bouley, T",Education,"Center for Early Childhood Education, Room 212","T, 1100, 1400, T, 1515, 1600, W, 1100, 1130, R, 0845, 0930"
"Bright-Holland, A","Communication, Film and Theatre","Fine Arts, Room 223","M, 1400, 1500, T, 1400, 1600, R, 1400, 1600"
"Broscious, C","Political Science, Philosophy, Geography","Webb Hall, Room 353","T, 1045, 1200, T, 1350, 1420, R, 1045, 1200, R, 1350, 1420, W, 1300, 1430"
"Buck, W",Business Administration,"Communication, Room 216","T, 1515, 1600, R, 1515, 1600, W, 1600, 1700"
"Calissi, J",Music,"Fine Arts, Room 236","M, 1200, 1300, T, 1530, 1700, R, 1530, 1700, F, 1300, 1400"
"Canavan, P",Health Sciences and Nursing,"Goddard Hall, Room 205","M, 1200, 1330, W, 1200, 1330, T, 1100, 1200, F, 1200, 1300"
"Carenen, C",History,"Webb Hall, Room 331","T, 0800, 0900, W, 1200, 1330, R, 0800, 0900"
