Instructor,Sub,Crse,Sec,Day,Time,Room
misikoc,ACC,201,01,T,04:00 pm-06:45 pm,GODDAR 223
guom,ACC,201,02,TR,09:30 am-10:45 am,SCIENC 137
guom,ACC,201,03,TR,11:00 am-12:15 pm,SCIENC 137
misikoc,ACC,202,01,M,04:00 pm-06:45 pm,WEBB 216
guom,ACC,301,01,TR,02:00 pm-03:15 pm,GODDAR 216
foyl,ACC,302,01,TR,11:00 am-12:15 pm,SCIENC 132
guom,ACC,303,01,W,04:00 pm-06:45 pm,WEBB 315
rujoubm,ACC,311,01,TR,09:30 am-10:45 am,SCIENC 115
capalboh,ACC,410,01,R,04:00 pm-06:45 pm,WEBB 113
vailm,ACC,411,01,T,04:00 pm-06:45 pm,WEBB 113
greenb,ACC,412,01,M,04:00 pm-06:45 pm,WEBB 315
foyl,ACC,416,01,TR,12:30 pm-01:45 pm,SCIENC 132
rujoubm,ACC,420,01,TR,11:00 am-12:15 pm,SCIENC 115
vailm,ACC,520,E25, ,TBA,TBA
capalboh,ACC,531,E25, ,TBA,TBA
shepard-torresr,ANT,106,01,TR,09:30 am-10:45 am,WEBB 110
leissa,ANT,125,01,TR,02:00 pm-03:15 pm,WEBB 112
couture-palmerinop,ANT,201,E25, ,TBA,ONLINE
leissa,ANT,221,E25, ,TBA,ONLINE
couture-palmerinop,ANT,222,E25, ,TBA,ONLINE
carrolls,ANT,302,01X,TR,09:30 am-10:45 am,GODDAR 223
williamsone,ANT,337,01,MWF,08:00 am-08:50 am,WEBB 214
williamsone,ANT,345,01,MWF,09:00 am-09:50 am,WEBB 215
shepard-torresr,ANT,364,01,TR,11:00 am-12:15 pm,SCIENC 116
leissa,ANT,365,01,TR,11:00 am-12:15 pm,SCIENC 432
leissa,ANT,400,01,W,04:00 pm-06:45 pm,WEBB 317
leissa,ANT,490,01, ,TBA,TBA
guarinob,ART,110,01,MW,09:00 am-11:45 am,FAIC 328
mckeem,ART,110,02,TR,09:30 am-12:15 pm,FAIC 326
eliaa,ART,111,01,MW,09:00 am-11:45 am,FAIC 125
greener,ART,111,02,TR,12:00 pm-02:45 pm,FAIC 125
opied,ART,122,01,TR,04:00 pm-06:45 pm,FAIC 327
chent,ART,124,01,TR,09:30 am-12:15 pm,FAIC 327
pinckneys,ART,140,01,TR,09:30 am-10:45 am,FAIC 305
francob,ART,140,02,TR,12:30 pm-01:45 pm,FAIC 305
beebyc,ART,140,03,TR,04:00 pm-05:15 pm,FAIC 305
liuq,ART,202,01,TR,04:00 pm-06:45 pm,FAIC 331
moranr,ART,202,02,MW,09:00 am-11:45 am,FAIC 331
guildc,ART,202,03,TR,09:30 am-12:15 pm,FAIC 331
liuq,ART,205,01,TR,12:30 pm-03:15 pm,FAIC 331
cariddik,ART,212,01,MW,04:00 pm-05:50 pm,FAIC 305
francob,ART,212,02,TR,02:00 pm-03:50 pm,FAIC 305
kims,ART,213,01,TR,04:00 pm-06:45 pm,FAIC 330
bisantzj,ART,214,01,W,09:00 am-11:45 am,FAIC 330
rahmanifara,ART,215,01X,MW,09:00 am-11:45 am,FAIC 323
desousad,ART,217,01,TR,04:00 pm-06:45 pm,FAIC 125
liuq,ART,219,01,M,12:00 pm-02:45 pm,FAIC 326
bartonek,ART,219,02,T,09:30 am-12:15 pm,FAIC 328
bartonek,ART,219,02,T,09:30 am-12:15 pm,FAIC 323
toczylowskib,ART,230,01,WF,12:00 pm-02:45 pm,FAIC 247
petrikovskyh,ART,233,01,MW,01:00 pm-02:50 pm,FAIC 115
greener,ART,235,01,F,12:00 pm-02:45 pm,FAIC 125
eliaa,ART,235,03,M,12:00 pm-02:45 pm,FAIC 125
wintnerj,ART,250,01,TR,05:30 pm-06:45 pm,FAIC 305
rahmanifara,ART,308,01X,MW,09:00 am-11:45 am,FAIC 323
pinckneys,ART,313,01,TR,11:00 am-12:15 pm,FAIC 305
greener,ART,315,01,TR,04:00 pm-06:45 pm,FAIC 122
chent,ART,327,01,M,12:00 pm-02:45 pm,FAIC 330
chent,ART,329,01,TR,12:30 pm-03:15 pm,FAIC 327
hollandj,ART,332,01,WF,12:00 pm-02:45 pm,FAIC 330
drewt,ART,342,01,TR,09:30 am-12:15 pm,FAIC 330
lil,ART,343,01,MW,09:00 am-11:45 am,FAIC 327
rahmanifara,ART,352,01X,MW,12:00 pm-02:45 pm,FAIC 331
doylem,ART,401,01,WF,01:00 pm-02:50 pm,FAIC 305
kims,ART,436,01,TR,12:30 pm-03:15 pm,FAIC 330
rahmanifara,ART,470,01X,MW,12:00 pm-02:45 pm,FAIC 331
chent,ART,480,01, ,TBA,TBA
lil,ART,480,02, ,TBA,TBA
lil,ART,480,03, ,TBA,TBA
greener,ART,480,04, ,TBA,TBA
chent,ART,480,05, ,TBA,TBA
doylem,ART,480,06, ,TBA,TBA
kims,ART,480,08, ,TBA,TBA
chent,ART,480,09, ,TBA,TBA
liuq,ART,480,10, ,TBA,TBA
doylem,ART,480,11, ,TBA,TBA
lil,ART,480,12, ,TBA,TBA
doylem,ART,480,13, ,TBA,TBA
petrikovskyh,ART,480,14, ,TBA,TBA
rahmanifara,ART,480,15, ,TBA,TBA
greener,ART,480,17, ,TBA,TBA
kims,ART,480,18, ,TBA,TBA
lil,ART,480,19, ,TBA,TBA
greener,ART,480,20, ,TBA,TBA
lil,ART,480,21, ,TBA,TBA
greener,ART,480,22, ,TBA,TBA
drewt,ART,480,24, ,TBA,TBA
lil,ART,485,01,MW,04:00 pm-06:45 pm,FAIC 323
greener,ART,485,01,MW,04:00 pm-06:45 pm,FAIC 323
rahmanifara,ART,485,01,MW,04:00 pm-06:45 pm,FAIC 323
lil,ART,485,01,MW,04:00 pm-06:45 pm,FAIC 122
greener,ART,485,01,MW,04:00 pm-06:45 pm,FAIC 122
rahmanifara,ART,485,01,MW,04:00 pm-06:45 pm,FAIC 122
lil,ART,485,01,MW,04:00 pm-06:45 pm,FAIC 247
greener,ART,485,01,MW,04:00 pm-06:45 pm,FAIC 247
rahmanifara,ART,485,01,MW,04:00 pm-06:45 pm,FAIC 247
doylem,ART,486,01, ,TBA,TBA
chent,ART,487,01, ,TBA,TBA
rahmanifara,ART,490,01, ,TBA,TBA
chent,ART,490,02, ,TBA,TBA
doylem,ART,490,03, ,TBA,TBA
liuq,ART,490,04, ,TBA,TBA
kerrm,AST,214,01,TR,09:30 am-10:45 am,PLANET PLT
kerrm,AST,214,01A,T,11:00 am-12:00 pm,PLANET PLT
kerrm,AST,214,01B,R,11:00 am-12:00 pm,PLANET PLT
hulveyj,BIO,120,01,MWF,11:00 am-11:50 am,SCIENC 231
hulveyj,BIO,120,01,M,02:00 pm-04:50 pm,SCIENC 331
lauxd,BIO,140,01,MWF,09:00 am-09:50 am,SCIENC 104
lauxd,BIO,140,01A,W,02:00 pm-04:50 pm,SCIENC 334
